RideId,Date,Time,Wait,Name,OpeningDate,Tier,Location,IntellectualProp,Status,Temperature,CloudCover,SimpleStatus,RainAccumulation,ParkId,ParkOpen,ParkClose,EMHOpen,EMHClose,ParkName
1,2018-05-07,12:30,35,"Astro Orbiter",1995-02-25,minor_attraction,Tomorrowland,None,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
3,2018-05-07,12:30,45,"Big Thunder Mountain Railroad",1980-09-23,headliner,Frontierland,None,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
4,2018-05-07,12:30,45,"Buzz Lightyears Space Ranger Spin",1998-10-07,minor_attraction,Tomorrowland,Pixar,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
7,2018-05-07,12:30,40,"Dumbo the Flying Elephant",1971-10-01,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
8,2018-05-07,12:30,25,"Enchanted Tales with Belle",2012-12-06,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
13,2018-05-07,12:30,50,"Haunted Mansion",1971-10-01,major_attraction,"Liberty Square",None,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
15,2018-05-07,12:30,30,"Its a small world",1971-10-01,major_attraction,Fantasyland,None,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
17,2018-05-07,12:30,75,"Jungle Cruise",1971-10-01,major_attraction,Adventureland,None,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
21,2018-05-07,12:30,25,"Mad Tea Party",1971-10-01,minor_attraction,Fantasyland,AnimatedClassic,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
22,2018-05-07,12:30,30,"Meet Ariel at Her Grotto",2012-12-06,minor_attraction,"Magic Kingdom",AnimatedClassic,"clear sky",83.25,1,Clear,0,1,"9:00 AM","10:00 PM","10:00 PM","12:00 AM","Magic Kingdom"
